"Source:","C:\Users\NDRS\Documents\KicadDesign\MPY634\multiplicador\multiplicador.kicad_sch"
"Date:","2/19/2024 10:55:26 PM"
"Tool:","Eeschema 7.0.10"
"Generator:","C:\Users\NDRS\AppData\Local\Programs\KiCad\7.0\bin\scripting\plugins/bom_csv_grouped_by_value_with_fp.py"
"Component Count:","26"
"Ref","Qnty","Value","Cmp name","Footprint","Description","Vendor","DNP"
"C1, C2, C3, C4","4","100nF","C","Capacitor_SMD:C_1206_3216Metric","Unpolarized capacitor","",""
"HD80, HD91","2","Y2","Conn_01x03_Pin","UNITELECTRONICS_NDRS:Header 1x03P1.27MM","Generic connector, single row, 01x03, script generated","",""
"HD81, HD92","2","Y1","Conn_01x03_Pin","UNITELECTRONICS_NDRS:Header 1x03P1.27MM","Generic connector, single row, 01x03, script generated","",""
"HD82, HD94","2","SF","Conn_01x03_Pin","UNITELECTRONICS_NDRS:Header 1x03P1.27MM","Generic connector, single row, 01x03, script generated","",""
"HD83, HD95","2","X2","Conn_01x03_Pin","UNITELECTRONICS_NDRS:Header 1x03P1.27MM","Generic connector, single row, 01x03, script generated","",""
"HD84, HD96","2","X1","Conn_01x03_Pin","UNITELECTRONICS_NDRS:Header 1x03P1.27MM","Generic connector, single row, 01x03, script generated","",""
"HD85","1","VCC-","Conn_01x04_Pin","UNITELECTRONICS_NDRS:Header 1x04P1.27MM","Generic connector, single row, 01x04, script generated","",""
"HD86","1","GND","Conn_01x04_Pin","UNITELECTRONICS_NDRS:Header 1x04P1.27MM","Generic connector, single row, 01x04, script generated","",""
"HD87, HD100","2","Z2","Conn_01x03_Pin","UNITELECTRONICS_NDRS:Header 1x03P1.27MM","Generic connector, single row, 01x03, script generated","",""
"HD88, HD101","2","Z1","Conn_01x03_Pin","UNITELECTRONICS_NDRS:Header 1x03P1.27MM","Generic connector, single row, 01x03, script generated","",""
"HD89, HD103","2","OUT","Conn_01x03_Pin","UNITELECTRONICS_NDRS:Header 1x03P1.27MM","Generic connector, single row, 01x03, script generated","",""
"HD90","1","VCC+","Conn_01x04_Pin","UNITELECTRONICS_NDRS:Header 1x04P1.27MM","Generic connector, single row, 01x04, script generated","",""
"PowerSupply1","1","Conn_01x03_Pin","Conn_01x03_Pin","UNITELECTRONICS_NDRS:KF301 _3_P5MM","Generic connector, single row, 01x03, script generated","",""
"U1, U2","2","MPY634KP","MPY634KP","Package_DIP:DIP-14_W7.62mm","Wide Bandwidth Precision Analog Multiplier, DIP-14","",""
